Health Care,5604.8,6
Technology,3525.07,41
Health Care,3180.48,69
Finance,8033.17,98
n/a,3231.27,42
Finance,6301.26,47
Miscellaneous,3029.94,39
Basic Industries,5503.54,12
Finance,8555.11,59
Health Care,5566.32,57
Capital Goods,369.37,83
Consumer Services,4629.41,32
n/a,1273.5,67
Consumer Services,7749.12,15
Basic Industries,2617.62,47
n/a,3269.06,87
n/a,3770.72,59
n/a,5451.26,82
Finance,7631.1,68
Health Care,3194.52,57
n/a,5515.71,100
Capital Goods,2997.13,91
Health Care,5315.83,73
n/a,4008.2,2
Finance,8809.97,81
Finance,4098.2,20
n/a,3239.73,1
Finance,8207.3,46
Technology,4039.13,69
Consumer Services,382.43,24
Finance,2789.88,92
Consumer Non-Durables,5088.46,75
n/a,3244.31,13
Finance,8244.58,12
Finance,7247.7,66
n/a,5494.44,86
Health Care,5242.17,88
n/a,7047.32,4
Finance,7708.47,34
Consumer Services,4726.28,43
Finance,3964.83,76
Energy,7369.22,32
n/a,773.3,70
Basic Industries,5486.76,28
n/a,448.45,44
Capital Goods,3408.86,39
n/a,1122.82,11
n/a,7972.43,80
Health Care,6259.8,55
Public Utilities,3460.74,81
Energy,1891.65,92
Consumer Services,5147.3,74
Consumer Durables,6618.93,36
Health Care,1462.75,96
Technology,5533.45,87
Technology,1391.28,58
Health Care,8780.18,97
n/a,2960.8,48
Finance,963.95,33
Consumer Services,2987.9,98
Finance,4715.6,4
Technology,8279.43,3
Energy,6208.42,73
Consumer Non-Durables,6737.24,7
n/a,3252.13,13
Finance,5258.06,7
n/a,8806.31,65
Miscellaneous,1878.44,19
Technology,7831.17,9
Finance,1598.48,64
n/a,7156.96,32
Finance,3355.15,75
Public Utilities,3310.88,97
n/a,1130.08,81
Consumer Non-Durables,3149.95,24
Finance,2290.73,45
n/a,1711.56,60
Consumer Services,8823.52,1
Transportation,3732.48,41
Technology,947.42,96
Consumer Services,3099.31,87
Public Utilities,553.81,67
Technology,8107.76,31
Consumer Non-Durables,4929.77,15
Consumer Non-Durables,8270.75,1
n/a,6884.41,98
Health Care,2236.11,72
Health Care,1864.66,34
Health Care,6007.31,48
Health Care,5763.03,19
Energy,4013.0,82
n/a,7326.14,10
Basic Industries,561.24,80
Transportation,4082.7,63
Capital Goods,188.57,89
Technology,2931.95,96
Consumer Services,3691.25,72
Health Care,7618.27,15
Energy,2735.26,16
Finance,5849.77,10
